title,description,published_at,source,compound,sentiment_label
"Puma, Slam Jam Celebrate Tie-up With AC Milan at Milan Fashion Week","Puma, Milan’s soccer club AC Milan, Italian streetwear company Slam Jam unveiled a co-branded fourth kit with an event at Milan Fashion Week.",2026-02-25T20:44:05Z,WWD,-0.128,Negative
Celtic's O'Neill baffled by VAR process on Trusty red,"Martin O'Neill claims the process around Auston Trusty's red card against Hibernian was ""such a nonsense"" as the Celtic defender gets set to miss three domestic matches.",2026-02-25T20:25:16Z,RTE,0.0772,Positive
Soccer Player Rushes to Aid and Perform CPR on Seagull Hit by Ball Mid-Game in Istanbul,"Soccer Player Rushes to Aid and Perform CPR on Seagull Hit by Ball Mid-Game in Istanbul
Turkish football player saves a seagull's life with CPR after an accidental hit. by u/Away_Substance_7745 in interestingasfuck Seagulls are extremely common creatures in I…",2026-02-25T20:20:20Z,My Modern Met,-0.0772,Negative
Pelé's 1966 World Cup jacket draws new fans after Bad Bunny wears it at Brazil shows,Bad Bunny has turned a Pelé World Cup jacket into a pop culture hit after using it in his concerts in São Paulo,2026-02-25T20:15:17Z,Abcnews.com,-0.7906,Negative
"FIFA Backs Down, Lets Scotland Fans Wear Sporrans","Scottish soccer fans, known as the Tartan Army, won't have to leave a key part of their national dress at the World Cup turnstiles after all. Following talks with FIFA and tournament organizers, the Scottish Football Association says supporters will be allowe…",2026-02-25T20:15:00Z,Newser,0.4306,Positive
One of 2025’s Biggest Games Is Still Being Criminally Overlooked,"I’ve said it a hundred times before, but 2025 was a truly exceptional year for video games. Despite everything incredibly wrong with the industry right now, passionate developers are still delivering mesmerizingly good experiences that continue to define genr…",2026-02-25T20:00:00Z,ComicBook.com,0.951,Positive
Footy Fix: Champions League returns as Real Madrid and Vinicius Jr. face Jose Mourinho's Benfica,Elsewhere Juventus look for a miracle comeback against Galatasaray,2026-02-25T18:36:51Z,CBS Sports,0.802,Positive
Samsung Galaxy S26 hands-on: A lot more of the same for a little more money,"As we prepare to leave the winter months, Samsung announced another family of Galaxy S flagships for those looking to upgrade. As usual, the company put its best components and features into the Galaxy S26 Ultra, but it also added more to the base S26 and S26…",2026-02-25T18:13:08Z,Slashdot.org,0.3612,Positive
Lyndon J. Barrois Sr. Depicts the History of the World Cup Through Gum Wrappers at LACMA,"We chat with the artist about his winding journey from making miniatures out of trash as a kid to having a solo show at the LACMA.
The post Lyndon J. Barrois Sr. Depicts the History of the World Cup Through Gum Wrappers at LACMA appeared first on PRINT Magazi…",2026-02-25T17:59:13Z,Printmag.com,0.0,Neutral
"NFL Combine Survey: 42 Prospects Weigh in on Top QBs, Coaches, Players & More",Which QB do you trust the most to win you a game? Which coach would you most like to play for? Those were some of the questions we asked 42 NFL Draft prospects in our combine survey.,2026-02-25T17:20:22Z,Fox Sports,0.9545,Positive
Foul play: The real reason why FIFA chief Gianni Infantino came to Trump's Gaza Board of Peace launch,Why would the head of soccer's global governing body back the political theatrics of the Board of Peace for Gaza? But Infantino's corrupt ingratiation with Trump goes far deeper – and endangers the World Cup itself,2026-02-25T16:48:51Z,Haaretz,0.6369,Positive
What is the Presidential Medal of Freedom? Explaining Connor Hellebuyck's prestigious honor from Donald Trump,Here's what you need to know about the Presidential Medal of Freedom.,2026-02-25T16:20:31Z,Sporting News,0.9571,Positive
NFL star Brandon Aubrey seeks record-shattering kicker contract,"LThe Dallas Cowboys may not have reached the NFL postseason in 2025, however, one of the team's biggest stars could be in line for a record-breaking contract if Brandon Aubrey has his way. Aubrey has become one of the top kickers in football since joining the…",2026-02-25T16:13:44Z,The Big Lead,0.129,Positive
How an Antitrust Lawsuit from Michael Jordan Reshaped NASCAR,"How an Antitrust Lawsuit from Michael Jordan Reshaped NASCARBen.Mattison
Wed, 02/25/2026 - 10:34

 Faculty Viewpoints
 <li>
 Edward A. Snyder


 William S. Beinecke Professor of Economics and Management


 

</li>
<ul>
 <li>Competition</li>
 <li>Economics</…",2026-02-25T15:34:36Z,Yale.edu,-0.4215,Negative
FAI confirm Ireland-Israel will be held in Dublin,"The Republic of Ireland's home Nations League tie against Israel on 4 October will be held at the Aviva Stadium, the FAI have confirmed in a letter to their members.",2026-02-25T15:04:22Z,RTE,0.0,Neutral
Team captain stops championship soccer match for 22 minutes to perform emergency CPR on a seagull,"Not all heroes wear capes. Some wear soccer cleats.
We can't be the only ones who thought all professional sports players were… how do we say this nicely, narcissistic? Self-centered? Less empathic than the rest of us? Maybe that's completely unfair of us to…",2026-02-25T14:00:00Z,Cheezburger.com,-0.5514,Negative
Tom Brady Ripped For Running Propaganda For FIFA And ‘Man Of The People’ Gianni Infantino,"It unfortunately appears that there is no one whom Tom Brady won’t shill for, at least based on his recent history. Whether it be Michael Rubin and widely disliked sports merchandiser Fanatics, Saudi Arabia to put on a flag football game, or FIFA and its Dr. …",2026-02-25T13:22:42Z,BroBible,-0.8074,Negative
Banijay Saddles Up For Next Era Of Dutch Formats With ‘The Bicycle Race’ & ‘Last One Standing’,"EXCLUSIVE: Home to Big Brother, The Voice and The Traitors, the Netherlands has always been an entertainment formats powerhouse. Banijay Entertainment is now banking on a pair of shows from country adding to the lineage, as the global production giant gears u…",2026-02-25T12:05:15Z,Deadline,0.7804,Positive
adidas' Bob Marley Track Jacket Turns A Sporty Staple Into Wearable Tribute,"A standout from the German brand's Bob Marley collaboration, this redone adidas track jacket's an homage to the legendary musician, his home country, & soccer.",2026-02-25T11:48:59Z,Highsnobiety,0.0,Neutral
Neymar's fitness puts him in the eye of the storm: Brazilian could be out of World Cup,"For many, Neymar is the last great exponent of Joga Bonito, and although it has been more than a year since the Brazilian No. 10 was anywhere near his best, fans of the verdeamarel",2026-02-25T11:48:58Z,Marca,0.886,Positive
Murphy admits emotions high for 'special' first start,Alex Murphy admitted it was tough to manage his emotions when hearing the Champions League anthem as the Galwegian made his first start for Newcastle United last night.,2026-02-25T11:38:30Z,RTE,0.875,Positive
MM 2.25: Maryland baseball wins 15-14 thriller over Delaware in walk-off fashion,"This is the Maryland Minute, a short story followed by a roundup of Terps-related news.",2026-02-25T11:30:00Z,Testudo Times,0.6249,Positive
The Price of Being Black and Proud in European Soccer,"Takashi Williams



The Brazilian star Vinicius Jr. has repeatedly been a victim of racist abuse from soccer fans. Now, it seems such vitriol can even come from players without much consequence.




The post The Price of Being Black and Proud in European So…",2026-02-25T10:00:00Z,Thenation.com,-0.6249,Negative
pitch-aura 0.1.0,A spatial analytics computation engine for football/soccer tracking data,2026-02-25T09:11:29Z,Pypi.org,0.0,Neutral
